City,All Offense Types,Crimes Against Person,Murder and Nonnegligent Manslaughter,Negligent Manslaughter,Justifiable Homicide,Kidnapping/Abduction,All Rape,Rape,Sodomy,Sexual Assault With An Object,Criminal Sexual Contact,Incest,Statutory Rape,Aggravated Assault,Simple Assault,Intimidation,"Human Trafficking, Commercial Sex Acts","Human Trafficking, Involuntary Servitude",Crimes Against Property,Arson,Bribery,Burglary/Breaking & Entering,Counterfeiting/Forgery,Destruction/Damage/Vandalism of Property,Embezzlement,Extortion/Blackmail,False Pretenses/Swindle/Confidence Game,Credit Card/Automatic Teller Fraud,Impersonation,Welfare Fraud,Wire Fraud,Identity Theft,Hacking/Computer Invasion,Robbery,Pocket-picking,Purse-snatching,Shoplifting,Theft From Building,Theft From Coin Operated Machine or Device,Theft From Motor Vehicle,Theft of Motor Vehicle Parts/Accessories,All Other Larceny,Motor Vehicle Theft,Stolen Property Offenses,Crimes Against Society,Drug/Narcotic Violations,Drug Equipment Violations,Betting/Wagering,Operating/Promoting/Assisting Gambling,Gambling Equipment Violations,Sports Tampering,Pornography/Obscene Material,Prostitution,Assisting or Promoting Prostitution,Purchasing Prostitution,Weapon Law Violations,Animal Cruelty,Missing,Unnamed: 59,Year
Uncategorized,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024
Westport,318,106,,,,1.0,5.0,4.0,1.0,,,2.0,2.0,15,64,17,,,190,,,15,8.0,33,1.0,3.0,21,2.0,50.0,,,1.0,,,1.0,,4,4,,5,,29,12,1.0,22,15,,,1.0,,,,,,,6.0,,,,2024
Wheaton College,4,,,,,,,,,,,,,,,,,,4,,,,,1,,1.0,,1.0,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,2024
Aquinnah,2,1,,,,,,,,,,,,1,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024
Chilmark,17,6,,,,,,,,,,,,2,4,,,,11,,,,1.0,4,,,2,,1.0,,,,,,1.0,,,,,,,2,,,,,,,,,,,,,,,,,,2024
Dukes State Police,5,3,,,,,,,,,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,2024
Dukes State Police Middleboro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024
Edgartown,129,60,,,,1.0,3.0,3.0,,,,,,17,32,7,,,67,1.0,,11,1.0,15,,,4,,,,,1.0,,1.0,,,7,2,,,,19,5,,2,2,,,,,,,,,,,,,,2024
Gosnold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024
MBTA - Dukes County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024
Oak Bluffs,216,61,,,,,,,,,,,1.0,20,30,10,,,135,,,19,3.0,33,,1.0,12,1.0,,,,,,,1.0,,9,3,,,,50,3,,20,13,,,,,,4.0,,,,3.0,,,,2024
Tisbury,212,78,,,,1.0,2.0,2.0,,,,,,31,34,10,,,127,1.0,,23,4.0,21,,,11,,,,1.0,,,1.0,,,6,12,,,,45,2,,7,5,,,,,,1.0,,,,1.0,,,,2024
West Tisbury,58,23,1.0,,,,1.0,1.0,,,,,,8,8,5,,,33,,,1,1.0,8,,,11,,,,,,,,,,,3,,,,6,3,,2,2,,,,,,,,,,,,,,2024
Essex County,"21,486","7,528",12.0,,,62.0,183.0,166.0,16.0,1.0,99.0,5.0,41.0,"1,796","4,364",966,,,"12,456",21.0,1.0,704,302.0,"2,546",11.0,59.0,933,350.0,524.0,15.0,53.0,166.0,9.0,173.0,79.0,13.0,"1,584",388,2.0,969,174.0,"2,637",605,138.0,"1,502",955,15.0,,3.0,,,92.0,16.0,9.0,,404.0,8.0,,,2024
Amesbury,473,170,,,,,5.0,3.0,2.0,,2.0,,2.0,23,106,32,,,274,,1.0,7,8.0,86,,3.0,34,4.0,41.0,,,1.0,,1.0,,,11,14,,4,,50,3,6.0,29,16,,,,,,6.0,,,,7.0,,,,2024
